name,alias,status
123456,123456-jobs,0
#NAME?,basic-computer-knowledge-jobs,0
#NAME?,good-communication-skill-jobs,0
#NAME?,good-communication-hindi-english-bengali-jobs,0
#NAME?,good-communication-jobs,0
#NAME?,good-communication-skills-jobs,0
#NAME?,good-communication-hindi-english-jobs,0
1,01-jobs,0
Plot No. 82-83,plot-no-82-83-jobs,0
technician,technician-jobs,0
7449746203,7449746203-jobs,0
16000,16000-jobs,0
20,20000-jobs,0
12500,12500-jobs,0
1997,1997-jobs,0
6261068567,6261068567-jobs,0
40000,40000-jobs,0
1099,1099-jobs,0
5000,5000-jobs,0
#NAME?,ability-to-work-in-a-dynamic-and-challenging-environment-is-essential-jobs,0
C#.Net,cnet-jobs,0
accountant,accountant-jobs,0
+2 Deee,2-deee-jobs,0
Metro token,metro-token-jobs,0
DEPLOMA MECHANICAL,deploma-mechanical-jobs,0
dataentry operator,dataentry-operator-jobs,0
Skills:direct sales,skills-direct-sales-jobs,0
 direct channel sales,direct-channel-sales-jobs,0
 agency development,agency-development-jobs,0
 target,target-jobs,0
 key account development,key-account-development-jobs,0
 life insurance,life-insurance-jobs,0
 branch sales,branch-sales-jobs,0
branch banking,branch-banking-jobs,0
direct marketing,direct-marketing-jobs,0
direct channel sales,direct-channel-sales-jobs,0
target,target-jobs,0
sales development,sales-development-jobs,0
key account development,key-account-development-jobs,0
life insurance,life-insurance-jobs,0
branch sales,branch-sales-jobs,0
delivery person,delivery-person-jobs,0
 css,css-jobs,0
 angularjs,angularjs-jobs,0
 node js,node-js-jobs,0
frontend developer,frontend-developer-jobs,0
sumathi.s,sumathis-jobs,0
SR PRODUCTION SUPERVISOR,sr-production-supervisor-jobs,0
Delivery Boy food,delivery-boy-food-jobs,0
Cashier (store incharge),cashier-store-incharge-jobs,0
Sr.Merchandiser,srmerchandiser-jobs,0
no job,no-job-jobs,0
carpnter,carpnter-jobs,0
Labour Helper Packing,labour-helper-packing-jobs,0
Equity Research Trade,equity-research-trade-jobs,0
Telecom Sectors Opening & New Project Work For 0 to 30 Yrs Exp,telecom-sectors-opening-and-new-project-work-for-0-to-30-yrs-exp-jobs,0
"Pion office boy, house keeping , super vaise ,driver or delivery vor",pion-office-boy-house-keeping-super-vaise-driver-or-delivery-vor-jobs,0
Computer Networks,computer-networks-jobs,0
Sr. Recruiter,sr-recruiter-jobs,0
"Sourcing, Screening, Shortlisting, interviewing, coordination",sourcing-screening-shortlisting-interviewing-coordination-jobs,0
Dilevery boy,dilevery-boy-jobs,0
Cyber Security Intern,cyber-security-intern-jobs,0
home loan providers,home-loan-providers-jobs,0
Labour Welfare Officer,labour-welfare-officer-jobs,0
Sr.HR.& Admin. Executive,srhr-and-admin-executive-jobs,0
Sr.HR.Executive.,srhrexecutive-jobs,0
Visa Executive/Visa Travel Desk Executive22,visa-executive-visa-travel-desk-executive22-jobs,0
Sr Project Manager / Project Director,sr-project-manager-project-director-jobs,0
Full time,full-time-jobs,0
Anywork,anywork-jobs,0
Jr. Artist / Asst. Director,jr-artist-asst-director-jobs,0
mechanical worker,mechanical-worker-jobs,0
Spa manager. Cum receptionist,spa-manager-cum-receptionist-jobs,0
Csr,csr-jobs,0
Delevery boy,delevery-boy-jobs,0
"Picking,packing quality cheking",picking-packing-quality-cheking-jobs,0
I have  house keeping  supervisor,i-have-house-keeping-supervisor-jobs,0
